     Bruto   AliqINSS   Val.INSS  Base I.R.     AliqIR     Val.IR    Liquido
      2.00        7.5       0.15       1.85       0.00       0.00       1.85
      3.00        7.5       0.22       2.78       0.00       0.00       2.78
      5.00        7.5       0.38       4.62       0.00       0.00       4.62
      6.00        7.5       0.45       5.55       0.00       0.00       5.55
      6.00        7.5       0.45       5.55       0.00       0.00       5.55
      8.00        7.5       0.60       7.40       0.00       0.00       7.40
      8.00        7.5       0.60       7.40       0.00       0.00       7.40
     10.00        7.5       0.75       9.25       0.00       0.00       9.25
     13.00        7.5       0.97      12.03       0.00       0.00      12.03
     14.00        7.5       1.05      12.95       0.00       0.00      12.95
     16.00        7.5       1.20      14.80       0.00       0.00      14.80
     16.00        7.5       1.20      14.80       0.00       0.00      14.80
     16.00        7.5       1.20      14.80       0.00       0.00      14.80
     17.00        7.5       1.27      15.73       0.00       0.00      15.73
     18.00        7.5       1.35      16.65       0.00       0.00      16.65
     19.00        7.5       1.43      17.57       0.00       0.00      17.57
     21.00        7.5       1.57      19.43       0.00       0.00      19.43
     21.00        7.5       1.57      19.43       0.00       0.00      19.43
     21.00        7.5       1.57      19.43       0.00       0.00      19.43
     21.00        7.5       1.57      19.43       0.00       0.00      19.43
     22.00        7.5       1.65      20.35       0.00       0.00      20.35
     22.00        7.5       1.65      20.35       0.00       0.00      20.35
     24.00        7.5       1.80      22.20       0.00       0.00      22.20
     24.00        7.5       1.80      22.20       0.00       0.00      22.20
     25.00        7.5       1.88      23.12       0.00       0.00      23.12
     25.00        7.5       1.88      23.12       0.00       0.00      23.12
     26.00        7.5       1.95      24.05       0.00       0.00      24.05
     26.00        7.5       1.95      24.05       0.00       0.00      24.05
     27.00        7.5       2.02      24.98       0.00       0.00      24.98
     28.00        7.5       2.10      25.90       0.00       0.00      25.90
     28.00        7.5       2.10      25.90       0.00       0.00      25.90
     30.00        7.5       2.25      27.75       0.00       0.00      27.75
     30.00        7.5       2.25      27.75       0.00       0.00      27.75
     30.00        7.5       2.25      27.75       0.00       0.00      27.75
     31.00        7.5       2.32      28.68       0.00       0.00      28.68
     31.00        7.5       2.32      28.68       0.00       0.00      28.68
     32.00        7.5       2.40      29.60       0.00       0.00      29.60
     32.00        7.5       2.40      29.60       0.00       0.00      29.60
     34.00        7.5       2.55      31.45       0.00       0.00      31.45
     38.00        7.5       2.85      35.15       0.00       0.00      35.15
     40.00        7.5       3.00      37.00       0.00       0.00      37.00
     42.00        7.5       3.15      38.85       0.00       0.00      38.85
     43.00        7.5       3.23      39.77       0.00       0.00      39.77
     45.00        7.5       3.38      41.62       0.00       0.00      41.62
     45.00        7.5       3.38      41.62       0.00       0.00      41.62
     47.00        7.5       3.52      43.48       0.00       0.00      43.48
     50.00        7.5       3.75      46.25       0.00       0.00      46.25
     51.00        7.5       3.82      47.18       0.00       0.00      47.18
     51.00        7.5       3.82      47.18       0.00       0.00      47.18
     52.00        7.5       3.90      48.10       0.00       0.00      48.10
     52.00        7.5       3.90      48.10       0.00       0.00      48.10
     52.00        7.5       3.90      48.10       0.00       0.00      48.10
     54.00        7.5       4.05      49.95       0.00       0.00      49.95
     54.00        7.5       4.05      49.95       0.00       0.00      49.95
     55.00        7.5       4.12      50.88       0.00       0.00      50.88
     57.00        7.5       4.27      52.73       0.00       0.00      52.73
     57.00        7.5       4.27      52.73       0.00       0.00      52.73
     59.00        7.5       4.42      54.58       0.00       0.00      54.58
     59.00        7.5       4.42      54.58       0.00       0.00      54.58
     61.00        7.5       4.58      56.42       0.00       0.00      56.42
     61.00        7.5       4.58      56.42       0.00       0.00      56.42
     63.00        7.5       4.72      58.28       0.00       0.00      58.28
     63.00        7.5       4.72      58.28       0.00       0.00      58.28
     64.00        7.5       4.80      59.20       0.00       0.00      59.20
     64.00        7.5       4.80      59.20       0.00       0.00      59.20
     65.00        7.5       4.88      60.12       0.00       0.00      60.12
     66.00        7.5       4.95      61.05       0.00       0.00      61.05
     66.00        7.5       4.95      61.05       0.00       0.00      61.05
     66.00        7.5       4.95      61.05       0.00       0.00      61.05
     67.00        7.5       5.02      61.98       0.00       0.00      61.98
     67.00        7.5       5.02      61.98       0.00       0.00      61.98
     68.00        7.5       5.10      62.90       0.00       0.00      62.90
     70.00        7.5       5.25      64.75       0.00       0.00      64.75
     71.00        7.5       5.33      65.67       0.00       0.00      65.67
     71.00        7.5       5.33      65.67       0.00       0.00      65.67
     74.00        7.5       5.55      68.45       0.00       0.00      68.45
     76.00        7.5       5.70      70.30       0.00       0.00      70.30
     78.00        7.5       5.85      72.15       0.00       0.00      72.15
     80.00        7.5       6.00      74.00       0.00       0.00      74.00
     81.00        7.5       6.08      74.92       0.00       0.00      74.92
     82.00        7.5       6.15      75.85       0.00       0.00      75.85
     82.00        7.5       6.15      75.85       0.00       0.00      75.85
     83.00        7.5       6.22      76.78       0.00       0.00      76.78
     83.00        7.5       6.22      76.78       0.00       0.00      76.78
     85.00        7.5       6.38      78.62       0.00       0.00      78.62
     86.00        7.5       6.45      79.55       0.00       0.00      79.55
     87.00        7.5       6.52      80.48       0.00       0.00      80.48
     87.00        7.5       6.52      80.48       0.00       0.00      80.48
     87.00        7.5       6.52      80.48       0.00       0.00      80.48
     89.00        7.5       6.67      82.33       0.00       0.00      82.33
     89.00        7.5       6.67      82.33       0.00       0.00      82.33
     90.00        7.5       6.75      83.25       0.00       0.00      83.25
     90.00        7.5       6.75      83.25       0.00       0.00      83.25
     91.00        7.5       6.83      84.17       0.00       0.00      84.17
     92.00        7.5       6.90      85.10       0.00       0.00      85.10
     92.00        7.5       6.90      85.10       0.00       0.00      85.10
     92.00        7.5       6.90      85.10       0.00       0.00      85.10
     93.00        7.5       6.97      86.03       0.00       0.00      86.03
     95.00        7.5       7.12      87.88       0.00       0.00      87.88
     96.00        7.5       7.20      88.80       0.00       0.00      88.80
     97.00        7.5       7.27      89.73       0.00       0.00      89.73
     99.00        7.5       7.42      91.58       0.00       0.00      91.58
     99.00        7.5       7.42      91.58       0.00       0.00      91.58
    103.00        7.5       7.72      95.28       0.00       0.00      95.28
    103.00        7.5       7.72      95.28       0.00       0.00      95.28
    103.00        7.5       7.72      95.28       0.00       0.00      95.28
    103.00        7.5       7.72      95.28       0.00       0.00      95.28
    104.00        7.5       7.80      96.20       0.00       0.00      96.20
    104.00        7.5       7.80      96.20       0.00       0.00      96.20
    105.00        7.5       7.88      97.12       0.00       0.00      97.12
